Time,Addr,Jitter,Jitter_magnitude,transferred,transferred_magnitude,time,lost_packets,total_packets
1583213482,::ffff:209.141.36.43,0.049,ms,11.9,MBytes,10.0,0,8505
1583217082,::ffff:209.141.36.43,0.076,ms,11.9,MBytes,10.0,0,8505
1583220682,::ffff:209.141.36.43,0.110,ms,11.9,MBytes,10.0,0,8505
1583224282,::ffff:209.141.36.43,0.076,ms,11.9,MBytes,10.0,0,8505
1583227882,::ffff:209.141.36.43,0.127,ms,11.9,MBytes,10.0,0,8505
1583231482,::ffff:209.141.36.43,0.044,ms,11.9,MBytes,10.0,0,8505
1583235082,::ffff:209.141.36.43,0.067,ms,11.9,MBytes,10.0,0,8505
1583238682,::ffff:209.141.36.43,0.099,ms,11.9,MBytes,10.0,0,8505
1583242282,::ffff:209.141.36.43,0.400,ms,11.9,MBytes,10.0,0,8505
1583245882,::ffff:209.141.36.43,0.433,ms,11.9,MBytes,10.0,0,8505
1583249482,::ffff:209.141.36.43,0.321,ms,11.8,MBytes,10.0,59,8505
1583253081,::ffff:209.141.36.43,0.142,ms,11.9,MBytes,10.0,0,8505
1583256682,::ffff:209.141.36.43,0.152,ms,11.9,MBytes,10.0,0,8505
1583260282,::ffff:209.141.36.43,0.079,ms,11.9,MBytes,10.0,0,8505
1583263881,::ffff:209.141.36.43,0.136,ms,11.9,MBytes,10.0,0,8505
1583267482,::ffff:209.141.36.43,0.067,ms,11.9,MBytes,10.0,0,8505
1583271082,::ffff:209.141.36.43,0.085,ms,11.9,MBytes,10.0,0,8505
1583274681,::ffff:209.141.36.43,0.133,ms,11.9,MBytes,10.0,0,8505
1583278282,::ffff:209.141.36.43,0.064,ms,11.9,MBytes,10.0,0,8505
1583281882,::ffff:209.141.36.43,0.095,ms,11.9,MBytes,10.0,0,8505
1583285481,::ffff:209.141.36.43,0.122,ms,11.9,MBytes,10.0,0,8505
1583289082,::ffff:209.141.36.43,0.116,ms,11.9,MBytes,10.0,0,8505
1583292682,::ffff:209.141.36.43,0.106,ms,11.9,MBytes,10.0,0,8505
1583296282,::ffff:209.141.36.43,0.055,ms,11.9,MBytes,10.0,0,8505
1583299882,::ffff:209.141.36.43,0.069,ms,11.9,MBytes,10.0,0,8505
1583303482,::ffff:209.141.36.43,0.039,ms,11.9,MBytes,10.0,0,8505
1583307082,::ffff:209.141.36.43,0.046,ms,11.9,MBytes,10.0,0,8505
1583310682,::ffff:209.141.36.43,0.086,ms,11.9,MBytes,10.0,0,8505
1583314282,::ffff:209.141.36.43,0.128,ms,11.9,MBytes,10.0,0,8505
1583317882,::ffff:209.141.36.43,0.028,ms,11.9,MBytes,10.0,0,8505
1583321481,::ffff:209.141.36.43,0.081,ms,11.9,MBytes,10.0,0,8505
1583325082,::ffff:209.141.36.43,0.070,ms,11.9,MBytes,10.0,0,8505
1583328681,::ffff:209.141.36.43,0.068,ms,11.9,MBytes,10.0,0,8505
1583332282,::ffff:209.141.36.43,0.077,ms,11.9,MBytes,10.0,0,8505
1583335881,::ffff:209.141.36.43,0.070,ms,11.9,MBytes,10.0,0,8505
1583339482,::ffff:209.141.36.43,0.124,ms,11.9,MBytes,10.0,0,8505
1583343082,::ffff:209.141.36.43,0.115,ms,11.9,MBytes,10.0,0,8505
1583346682,::ffff:209.141.36.43,0.093,ms,11.9,MBytes,10.0,0,8505
1583350282,::ffff:209.141.36.43,0.215,ms,11.9,MBytes,10.0,0,8505
1583354001,::ffff:209.141.36.43,0.087,ms,11.9,MBytes,10.0,0,8505
