1582949817,::ffff:209.141.36.43,23.9,MBytes,10.0,20.0,Mbits
1583353743,::ffff:209.141.36.43,333,MBytes,10.0,279,Mbits
1583354467,::ffff:209.141.36.43,206,MBytes,10.1,172,Mbits
1583354528,::ffff:209.141.36.43,128,KBytes,10.0,105,Kbits
1583357411,::ffff:209.141.36.43,318,MBytes,10.1,265,Mbits
1583361011,::ffff:209.141.36.43,336,MBytes,10.0,281,Mbits
1583364611,::ffff:209.141.36.43,301,MBytes,10.0,252,Mbits
1583368211,::ffff:209.141.36.43,320,MBytes,10.1,267,Mbits
1583371811,::ffff:209.141.36.43,338,MBytes,10.0,282,Mbits
1583375411,::ffff:209.141.36.43,323,MBytes,10.0,270,Mbits
1583379011,::ffff:209.141.36.43,338,MBytes,10.0,283,Mbits
1583382612,::ffff:209.141.36.43,338,MBytes,10.0,282,Mbits
1583386212,::ffff:209.141.36.43,338,MBytes,10.0,283,Mbits
1583386640,::ffff:107.6.169.250,144,Bytes,4.9,234,bits
1583386642,::ffff:107.6.169.250,205,Bytes,0.1,21.7,Kbits
1583386649,::ffff:107.6.169.250,0.00,Bytes,4.4,0.00,bits
1583386656,::ffff:107.6.169.250,159,Bytes,4.9,258,bits
1583386663,::ffff:107.6.169.250,159,Bytes,4.9,258,bits
1583386671,::ffff:107.6.169.250,48.0,Bytes,5.0,76.8,bits
1583386679,::ffff:107.6.169.250,0.00,Bytes,4.4,0.00,bits
1583386686,::ffff:107.6.169.250,0.00,Bytes,4.4,0.00,bits
1583386694,::ffff:107.6.169.250,0.00,Bytes,4.4,0.00,bits
1583389812,::ffff:209.141.36.43,324,MBytes,10.0,271,Mbits
1583393412,::ffff:209.141.36.43,340,MBytes,10.0,285,Mbits
1583394156,::ffff:5.8.18.88,47.0,Bytes,1433.6,0.26,bits
1583394327,::ffff:5.8.18.88,0.00,Bytes,0.0,0.00,bits
1583397012,::ffff:209.141.36.43,340,MBytes,10.0,285,Mbits
1583398942,::ffff:5.8.18.88,47.0,Bytes,41.0,9.16,bits
1583400069,::ffff:5.8.18.88,47.0,Bytes,1376.3,0.27,bits
1583400612,::ffff:209.141.36.43,339,MBytes,10.0,284,Mbits
1583404212,::ffff:209.141.36.43,340,MBytes,10.1,283,Mbits
1583407811,::ffff:209.141.36.43,317,MBytes,10.0,265,Mbits
1583411411,::ffff:209.141.36.43,332,MBytes,10.0,278,Mbits
1583415011,::ffff:209.141.36.43,333,MBytes,10.0,279,Mbits
1583415018,::ffff:198.108.67.48,2.00,Bytes,1.0,16.0,bits
1583415018,::ffff:198.108.67.48,44.0,Bytes,0.0,16.1,Kbits
1583418611,::ffff:209.141.36.43,260,MBytes,10.0,218,Mbits
1583422211,::ffff:209.141.36.43,331,MBytes,10.0,277,Mbits
1583425811,::ffff:209.141.36.43,333,MBytes,10.0,279,Mbits
1583429411,::ffff:209.141.36.43,331,MBytes,10.0,277,Mbits
1583433011,::ffff:209.141.36.43,328,MBytes,10.0,275,Mbits
1583434489,::ffff:163.172.111.59,43.0,Bytes,15.6,22.1,bits
1583435969,::ffff:185.202.1.85,47.0,Bytes,943.0,0.40,bits
1583436611,::ffff:209.141.36.43,329,MBytes,10.0,275,Mbits
1583439631,::ffff:77.247.110.63,517,Bytes,5.9,702,bits
1583440211,::ffff:209.141.36.43,333,MBytes,10.0,278,Mbits
1583443150,::ffff:185.202.1.85,47.0,Bytes,576.3,0.65,bits
1583443811,::ffff:209.141.36.43,333,MBytes,10.0,279,Mbits
1583447411,::ffff:209.141.36.43,332,MBytes,10.0,278,Mbits
1583451011,::ffff:209.141.36.43,333,MBytes,10.0,278,Mbits
1583454611,::ffff:209.141.36.43,334,MBytes,10.1,279,Mbits
1583458211,::ffff:209.141.36.43,334,MBytes,10.0,280,Mbits
1583461811,::ffff:209.141.36.43,334,MBytes,10.0,279,Mbits
1583461970,::ffff:83.97.20.46,18.0,Bytes,10.1,14.2,bits
1583465411,::ffff:209.141.36.43,334,MBytes,10.0,279,Mbits
1583469011,::ffff:209.141.36.43,318,MBytes,10.0,266,Mbits
1583476211,::ffff:209.141.36.43,240,MBytes,10.0,201,Mbits
1583479811,::ffff:209.141.36.43,333,MBytes,10.0,279,Mbits
1583483411,::ffff:209.141.36.43,333,MBytes,10.0,278,Mbits
1583487011,::ffff:209.141.36.43,330,MBytes,10.0,275,Mbits
1583490611,::ffff:209.141.36.43,252,MBytes,10.0,211,Mbits
1583494211,::ffff:209.141.36.43,332,MBytes,10.0,278,Mbits
1583497811,::ffff:209.141.36.43,333,MBytes,10.0,279,Mbits
1583498955,::ffff:223.71.167.166,7.00,Bytes,17.2,3.25,bits
1583498964,::ffff:223.71.167.166,177,Bytes,5.8,243,bits
1583498989,::ffff:223.71.167.166,517,Bytes,20.1,206,bits
1583501411,::ffff:209.141.36.43,334,MBytes,10.0,279,Mbits
1583505011,::ffff:209.141.36.43,332,MBytes,10.0,278,Mbits
1583506361,::ffff:185.202.1.183,47.0,Bytes,2237.5,0.17,bits
1583508611,::ffff:209.141.36.43,305,MBytes,10.0,255,Mbits
1583509154,::ffff:185.202.1.183,47.0,Bytes,1338.4,0.28,bits
1583512212,::ffff:209.141.36.43,229,MBytes,10.0,191,Mbits
1583515811,::ffff:209.141.36.43,296,MBytes,10.0,248,Mbits
1583519411,::ffff:209.141.36.43,307,MBytes,10.0,256,Mbits
1583523011,::ffff:209.141.36.43,316,MBytes,10.1,263,Mbits
1583526611,::ffff:209.141.36.43,334,MBytes,10.1,278,Mbits
1583530211,::ffff:209.141.36.43,331,MBytes,10.0,277,Mbits
1583533811,::ffff:209.141.36.43,332,MBytes,10.0,278,Mbits
1583537411,::ffff:209.141.36.43,333,MBytes,10.0,279,Mbits
1583541011,::ffff:209.141.36.43,336,MBytes,10.0,281,Mbits
1583544611,::ffff:209.141.36.43,335,MBytes,10.0,280,Mbits
1583548211,::ffff:209.141.36.43,325,MBytes,10.0,272,Mbits
1583551811,::ffff:209.141.36.43,306,MBytes,10.0,256,Mbits
1583555411,::ffff:209.141.36.43,338,MBytes,10.0,283,Mbits
1583559011,::ffff:209.141.36.43,335,MBytes,10.0,280,Mbits
1583562611,::ffff:209.141.36.43,340,MBytes,10.0,284,Mbits
1583566211,::ffff:209.141.36.43,338,MBytes,10.0,283,Mbits
1583569811,::ffff:209.141.36.43,318,MBytes,10.0,266,Mbits
1583573411,::ffff:209.141.36.43,317,MBytes,10.0,265,Mbits
1583577011,::ffff:209.141.36.43,337,MBytes,10.0,282,Mbits
1583580611,::ffff:209.141.36.43,318,MBytes,10.0,266,Mbits
1583584211,::ffff:209.141.36.43,319,MBytes,10.0,267,Mbits
1583587811,::ffff:209.141.36.43,340,MBytes,10.0,285,Mbits
1583591411,::ffff:209.141.36.43,338,MBytes,10.0,283,Mbits
1583595011,::ffff:209.141.36.43,338,MBytes,10.0,282,Mbits
1583598611,::ffff:209.141.36.43,337,MBytes,10.0,282,Mbits
1583602211,::ffff:209.141.36.43,308,MBytes,10.1,257,Mbits
1583605811,::ffff:209.141.36.43,338,MBytes,10.0,283,Mbits
1583609411,::ffff:209.141.36.43,271,MBytes,10.1,226,Mbits
1583613011,::ffff:209.141.36.43,327,MBytes,10.1,273,Mbits
